10 12 25000.0
3 4 5 32886.7
3 5 6 119744.3
3 6 7 113058.8
3 7 8 70807.4
3 8 9 154091.4
3 9 10 188444.5
3 1 3 151276.4
3 2 4 73399.3
3 3 5 66638.4
3 4 6 128589.9
3 5 7 136618.6
3 6 8 138953.9
3 7 9 171739.2
3 8 10 228474.7
3 1 4 174744.0
3 2 5 82822.0
3 3 6 139341.9
3 4 7 137295.1
3 5 8 142466.4
3 6 9 184595.8
3 7 10 234530.6
3 1 5 175629.9
3 2 6 150149.4
3 3 7 143387.8
3 4 8 170965.5
3 5 9 198107.6
3 6 10 272603.7
3 1 6 211545.2
3 2 7 158474.3
3 3 8 176137.7
3 4 9 208402.3
3 5 10 289135.9
3 1 7 236298.9
3 2 8 189697.1
3 3 9 216855.4
3 4 10 297046.2
3 1 8 236703.1
3 2 9 216976.9
3 3 10 299127.7
3 1 9 283828.3
3 2 10 299777.8
3 1 10 366596.8
4 1 1 48511.8
4 2 2 94513.2
4 3 3 17150.3
4 4 4 57113.7
4 5 5 34913.3
4 6 6 41492.7
4 7 7 12942.2
4 8 8 16256.6
4 9 9 83116.3
4 10 10 50992.3
4 1 2 99458.3
4 2 3 110049.1
4 3 4 64483.8
4 4 5 58181.1
4 5 6 69073.1
4 6 7 46463.4
4 7 8 20027.8
4 8 9 83273.0
4 9 10 94370.0
4 1 3 115126.8
4 2 4 145722.9
4 3 5 68024.9
4 4 6 94590.2
4 5 7 74344.7
4 6 8 51842.7
4 7 9 91416.5
4 8 10 97161.9
4 1 4 147415.4
4 2 5 148709.4
4 3 6 100581.4
4 4 7 99382.8
4 5 8 85166.5
4 6 9 117040.0
4 7 10 99167.1
4 1 5 154814.0
4 2 6 186801.4
4 3 7 112439.4
4 4 8 103261.0
4 5 9 137370.0
4 6 10 123284.7
4 1 6 192527.0
4 2 7 190682.7
4 3 8 116508.5
4 4 9 150519.2
4 5 10 145840.8
4 1 7 193576.2
4 2 8 193476.4
4 3 9 162054.9
4 4 10 154522.8
4 1 8 195854.7
4 2 9 241288.6
4 3 10 169419.2
4 1 9 254149.6
4 2 10 243269.9
4 1 10 263511.8
5 1 1 11982.2
5 2 2 64561.0
5 3 3 57120.5
5 4 4 33005.4
5 5 5 40305.5
5 6 6 53714.5
5 7 7 39463.6
5 8 8 50475.5
5 9 9 31902.2
5 10 10 32926.8
5 1 2 72485.1
5 2 3 119861.0
5 3 4 81231.5
5 4 5 50517.1
5 5 6 78881.5
5 6 7 70104.5
5 7 8 68166.3
5 8 9 80114.9
5 9 10 44795.9
5 1 3 126780.2
5 2 4 126712.4
5 3 5 90818.1
5 4 6 85351.9
5 5 7 84100.7
5 6 8 78440.5
5 7 9 86844.2
5 8 10 88503.0
5 1 4 131349.7
5 2 5 126767.5
5 3 6 104823.2
5 4 7 103679.2
5 5 8 106315.1
5 6 9 103483.9
5 7 10 111768.4
5 1 5 136475.7
5 2 6 130067.8
5 3 7 142863.7
5 4 8 114348.8
5 5 9 110137.5
5 6 10 117770.0
5 1 6 139723.9
5 2 7 155599.4
5 3 8 166671.9
5 4 9 138707.6
5 5 10 142084.2
5 1 7 157781.8
5 2 8 175428.6
5 3 9 172361.8
5 4 10 155388.3
5 1 8 178819.3
5 2 9 200610.9
5 3 10 202377.8
5 1 9 208330.6
5 2 10 207893.0
5 1 10 218327.6
6 1 1 58625.0
6 2 2 82407.6
6 3 3 74486.4
6 4 4 37312.4
6 5 5 18363.0
6 6 6 38963.4
6 7 7 14120.4
6 8 8 89718.2
6 9 9 45572.8
6 10 10 79968.8
6 1 2 129704.9
6 2 3 138269.4
6 3 4 91590.8
6 4 5 51881.4
6 5 6 45319.4
6 6 7 44691.9
6 7 8 102973.3
6 8 9 128531.0
6 9 10 84149.9
6 1 3 154482.9
6 2 4 163915.6
6 3 5 96494.8
6 4 6 60917.6
6 5 7 48326.9
6 6 8 108146.6
6 7 9 130082.6
6 8 10 154723.9
6 1 4 182741.9
6 2 5 172791.3
6 3 6 117326.7
6 4 7 70174.6
6 5 8 111167.3
6 6 9 139015.6
6 7 10 163672.2
6 1 5 184378.1
6 2 6 191895.0
6 3 7 121631.5
6 4 8 139631.5
6 5 9 148567.5
6 6 10 181547.9
6 1 6 207354.7
6 2 7 199484.4
6 3 8 171694.3
6 4 9 179298.2
6 5 10 182415.4
6 1 7 212248.1
6 2 8 209794.6
6 3 9 204507.2
6 4 10 184664.5
6 1 8 246314.9
6 2 9 239829.3
6 3 10 251462.3
6 1 9 287946.8
6 2 10 269205.9
6 1 10 301216.3
7 1 1 52660.0
7 2 2 32852.8
7 3 3 61467.2
7 4 4 37304.5
7 5 5 32563.5
7 6 6 62843.7
7 7 7 52410.5
7 8 8 79963.8
7 9 9 70845.7
7 10 10 15809.6
7 1 2 59322.7
7 2 3 87108.7
7 3 4 82120.0
7 4 5 61307.0
7 5 6 79669.7
7 6 7 93816.7
7 7 8 97554.4
7 8 9 105623.6
7 9 10 74061.7
7 1 3 118835.8
7 2 4 113586.5
7 3 5 110499.5
7 4 6 106235.0
7 5 7 114423.2
7 6 8 158887.5
7 7 9 143696.5
7 8 10 119016.8
7 1 4 131663.6
7 2 5 137223.6
7 3 6 122862.7
7 4 7 116457.8
7 5 8 160508.6
7 6 9 186033.4
7 7 10 159428.2
7 1 5 139540.3
7 2 6 152548.9
7 3 7 125646.1
7 4 8 171390.7
7 5 9 194153.8
7 6 10 191717.4
7 1 6 170696.6
7 2 7 153025.3
7 3 8 192504.7
7 4 9 219841.8
7 5 10 208574.8
7 1 7 175628.6
7 2 8 208640.9
7 3 9 226194.1
7 4 10 225800.3
7 1 8 210123.7
7 2 9 231347.6
7 3 10 227258.6
7 1 9 240094.2
7 2 10 243192.5
7 1 10 249022.9
8 1 1 36114.0
8 2 2 92987.7
8 3 3 68064.8
8 4 4 107070.5
8 5 5 24712.9
8 6 6 20914.8
8 7 7 24347.8
8 8 8 79960.3
8 9 9 97516.0
8 10 10 44747.1
8 1 2 112402.5
8 2 3 159029.3
8 3 4 134908.7
8 4 5 122338.9
8 5 6 25233.4
8 6 7 42704.2
8 7 8 83863.1
8 8 9 138261.4
8 9 10 134832.7
8 1 3 159920.2
8 2 4 163482.0
8 3 5 158212.2
8 4 6 128847.0
8 5 7 46863.6
8 6 8 102094.1
8 7 9 148244.8
8 8 10 140626.7
8 1 4 177347.5
8 2 5 181828.5
8 3 6 158724.3
8 4 7 135935.6
8 5 8 107912.7
8 6 9 160789.3
8 7 10 151714.2
8 1 5 195937.7
8 2 6 188705.9
8 3 7 160160.0
8 4 8 204153.2
8 5 9 162139.5
8 6 10 160956.1
8 1 6 197295.9
8 2 7 203232.6
8 3 8 226399.4
8 4 9 247129.6
8 5 10 174522.4
8 1 7 219951.3
8 2 8 239844.0
8 3 9 274263.2
8 4 10 260935.2
8 1 8 267447.9
8 2 9 289544.2
8 3 10 300087.3
8 1 9 312877.9
8 2 10 318112.3
8 1 10 326526.4
9 1 1 23872.0
9 2 2 95402.3
9 3 3 64410.0
9 4 4 102353.8
9 5 5 45596.6
9 6 6 90468.9
9 7 7 52820.6
9 8 8 101666.8
9 9 9 29607.1
9 10 10 57830.7
9 1 2 117380.7
9 2 3 124904.8
9 3 4 105862.3
9 4 5 145787.1
9 5 6 129853.0
9 6 7 107112.4
9 7 8 117897.7
9 8 9 122626.3
9 9 10 59463.5
9 1 3 127956.0
9 2 4 165738.7
9 3 5 150298.3
9 4 6 177842.7
9 5 7 140025.0
9 6 8 155973.6
9 7 9 147016.0
9 8 10 139322.6
9 1 4 166631.2
9 2 5 204268.9
9 3 6 220395.4
9 4 7 192406.1
9 5 8 187340.8
9 6 9 166931.9
9 7 10 169586.6
9 1 5 211451.3
9 2 6 283041.3
9 3 7 240821.0
9 4 8 231329.5
9 5 9 197251.1
9 6 10 179417.3
9 1 6 292988.5
9 2 7 297585.3
9 3 8 251266.5
9 4 9 251375.2
9 5 10 199789.0
9 1 7 300530.3
9 2 8 326402.0
9 3 9 267944.5
9 4 10 263018.0
9 1 8 333807.4
9 2 9 349096.5
9 3 10 297034.6
9 1 9 358349.9
9 2 10 353828.4
9 1 10 359100.0
10 1 1 106920.0
10 2 2 54411.7
10 3 3 55151.5
10 4 4 97895.0
10 5 5 55974.0
10 6 6 97465.4
10 7 7 15993.4
10 8 8 87435.3
10 9 9 38887.1
10 10 10 55630.3
10 1 2 107196.9
10 2 3 75598.8
10 3 4 126052.4
10 4 5 132067.3
10 5 6 128909.2
10 6 7 108873.1
10 7 8 96021.2
10 8 9 103515.6
10 9 10 79067.1
10 1 3 136291.6
10 2 4 172437.7
10 3 5 175518.5
10 4 6 197818.8
10 5 7 141702.9
10 6 8 142932.3
10 7 9 105277.5
10 8 10 139776.6
10 1 4 222639.6
10 2 5 175839.9
10 3 6 239969.6
10 4 7 203195.2
10 5 8 155851.4
10 6 9 153891.7
10 7 10 145849.1
10 1 5 254094.1
10 2 6 264252.3
10 3 7 244951.5
10 4 8 211843.2
10 5 9 166393.1
10 6 10 158061.7
10 1 6 309702.1
10 2 7 272516.7
10 3 8 264195.7
10 4 9 237158.9
10 5 10 175681.2
10 1 7 309761.9
10 2 8 273104.3
10 3 9 273164.6
10 4 10 267933.4
10 1 8 314710.3
10 2 9 302995.3
10 3 10 294028.3
10 1 9 330977.8
10 2 10 308694.4
10 1 10 385297.9
11 1 1 15081.0
11 2 2 66523.4
11 3 3 65791.5
11 4 4 86195.1
11 5 5 25434.1
11 6 6 34680.0
11 7 7 76347.0
11 8 8 103687.2
11 9 9 79199.4
11 10 10 76822.7
11 1 2 68743.3
11 2 3 117756.5
11 3 4 92026.2
11 4 5 97163.0
11 5 6 36842.8
11 6 7 92286.0
11 7 8 137250.4
11 8 9 109017.0
11 9 10 100312.7
11 1 3 120042.7
11 2 4 137558.0
11 3 5 98068.7
11 4 6 121625.2
11 5 7 100190.7
11 6 8 148588.6
11 7 9 175909.1
11 8 10 124849.5
11 1 4 149381.1
11 2 5 145469.4
11 3 6 124290.5
11 4 7 143810.8
11 5 8 151882.9
11 6 9 190222.0
11 7 10 191235.0
11 1 5 156396.8
11 2 6 173861.7
11 3 7 189264.0
11 4 8 174878.4
11 5 9 202833.4
11 6 10 198121.8
11 1 6 174670.9
11 2 7 213901.9
11 3 8 209349.8
11 4 9 231903.4
11 5 10 202967.9
11 1 7 225214.3
11 2 8 264223.4
11 3 9 283938.1
11 4 10 244165.1
11 1 8 268856.9
11 2 9 290793.4
11 3 10 286829.7
11 1 9 294281.2
11 2 10 322096.0
11 1 10 334301.6
12 1 1 34797.6
12 2 2 19384.9
12 3 3 22465.4
12 4 4 16862.8
12 5 5 25201.4
12 6 6 13828.8
12 7 7 73257.9
12 8 8 99119.5
12 9 9 14442.1
12 10 10 45583.9
12 1 2 50636.7
12 2 3 27356.5
12 3 4 24745.9
12 4 5 33071.1
12 5 6 37989.6
12 6 7 79103.7
12 7 8 108789.1
12 8 9 110705.8
12 9 10 56351.4
12 1 3 54093.9
12 2 4 35042.2
12 3 5 36129.6
12 4 6 42827.2
12 5 7 85272.0
12 6 8 111293.4
12 7 9 119079.2
12 8 10 145588.5
12 1 4 66479.8
12 2 5 46562.1
12 3 6 47178.4
12 4 7 99947.5
12 5 8 118699.5
12 6 9 119229.2
12 7 10 155559.8
12 1 5 68917.9
12 2 6 49694.5
12 3 7 100857.5
12 4 8 131893.9
12 5 9 130791.1
12 6 10 161060.5
12 1 6 78423.9
12 2 7 112615.1
12 3 8 136322.5
12 4 9 136411.2
12 5 10 174435.2
12 1 7 135216.2
12 2 8 137784.2
12 3 9 150343.8
12 4 10 179583.5
12 1 8 160272.8
12 2 9 151488.9
12 3 10 188517.1
12 1 9 164033.1
12 2 10 193721.4
12 1 10 208488.9
